y,20
Moons,14
Scale,0.025
Information,"Dark, cold and whipped by supersonic winds, ice giant Neptune is the eighth and most distant planet in our solar system"
Atmospheric,"H,He,CH4"
Temp,48
Tilt,28.32
Tag,Neptune
Revolution,165
Rotation,16
Type,Gas Giant
Diameter,49528
x,-170
OrbitalSpeed,6019
