y,20
Moons,27
Scale,0.03
Information,"The seventh planet from the Sun with the third largest diameter in our solar system, Uranus is very cold and windy."
Atmospheric,"H,He,CH4"
Temp,59
Tilt,82.33
Tag,Uranus
Revolution,84
Rotation,17 hours 14 minutes
Type,Ice Giant
Diameter,51118
x,-150
OrbitalSpeed,3068
