y,20
Moons,1
Scale,0.017
Information,"Our home planet is the third planet from the Sun, and the only place we know of so far that?s inhabited by living things."
Atmospheric,"N,O,Ar"
Temp,281
Tilt,24
Tag,Earth
Revolution,1
Rotation,1
Type,Terrestial
Diameter,12756
x,65
OrbitalSpeed,36.525
