y,20
Moons,0
Scale,0.07
Information,"The Sun the heart of our solar system is a yellow dwarf star, a hot ball of glowing gases."
Atmospheric,
Temp,6000
Tilt,7.25
Tag,Sun
Revolution,0
Rotation,0
Type,Yello-Dwarf
Diameter,"865,370"
