y,20
Moons,53
Scale,0.035
Information,Saturn is the sixth planet from the Sun and the second largest planet in our solar system.
Atmospheric,"H,He and CH4"
Temp,88
Tilt,26.73
Tag,Saturn
Revolution,29.46
Rotation,10.2
Type,Gas Giant
Diameter,120660
OrbitalSpeed,1075
x,120
