y,20
Moons,79
Scale,0.04
Information,"Jupiter is the fifth planet from our Sun and is, by far, the largest planet in the solar system ? more than twice as massive as all the other planets combined."
Atmospheric,"H, He, Methane"
Temp,100
Tilt,3.33
Tag,Jupiter
Revolution,11.86
Rotation,9.8
Type,Gas Giant
Diameter,"142,800"
x,100
OrbitalSpeed,432.89
