y,20
Moons,0
Scale,0.01
Information,"The smallest planet in our solar system and nearest to the Sun, Mercury is only slightly larger than Earth's Moon"
Atmospheric,"H, He"
Temp,452
Tilt,0.03
Tag,Mercury
Revolution,87.97
Rotation,58.65
Type,Terrestrial
Diameter,4879.4
x,30
OrbitalSpeed,8.8
